Column0,Compound,myY,Fit,AbsResidual
234332,O8Ti4,1.375,1.6714017983198182,0.29640179831981817
39329,Au1,4.9818,4.534990003871919,0.4468099961280805
214996,Mn1P2Sb2,7.381,7.075757983303072,0.3052420166969281
73186,B1Ga1La2,8.015,8.30875662212372,0.2937566221237198
5603,Ag1Ga1Rh1,4.3398,4.880192435026171,0.5403924350261704
144207,Cu1Sb1Zr1,7.5548,7.229514263534548,0.3252857364654522
96818,Ca1Ge1Zr1,4.1704,4.549824756336214,0.3794247563362143
140119,Cu18Mg2P4,6.0557,6.182262617063524,0.12656261706352456
43594,Au1Hg1O3,0.4873,0.6099153638839736,0.1226153638839736
184715,H8Mg1O16P4Rb2,-0.6204,-0.2983340873241411,0.3220659126758589
9847,Ag1Pt1Ta1,4.4266,4.5449181559085865,0.11831815590858685
85647,B1Pd1Y1,4.0364,4.593340836906435,0.5569408369064348
179254,Hf1Sb2Ti1,7.8831,8.027555782079698,0.14445578207969856
242184,Rb2Te4Y2,2.6775,3.025527723693849,0.34802772369384893
141989,Cu6O16Pb4Sr4Y2,4.4871,4.101505065393449,0.3855949346065506
13390,Al1Bi1Br1,4.3415,4.610450412750246,0.2689504127502458
28340,Al1Sr1Tl1,3.8555,4.23361422314644,0.37811422314644005
65352,Be2Cr1Re1,5.8644,6.127949192190172,0.2635491921901725
56418,Ba1O3Tl1,-0.2476,0.026971706008912563,0.27457170600891256
66144,Be1Fe1Sb2,8.8395,8.689854072189334,0.1496459278106652
74965,Bi1Br1Zr1,4.7774,5.215630065822603,0.43823006582260327
141450,Cu1Nb1Ta2,7.5298,7.685499383258821,0.15569938325882138
67921,Be1In1Zr2,3.8866,4.2990597624301925,0.41245976243019244
155560,F1Ga1O3,3.5210000000000004,2.691612691879274,0.8293873081207264
40859,Au4C4Cl12S8,-0.9354,-0.15601746633052685,0.7793825336694732
2195,Ag1Be1Si1,4.5353,5.034702956342699,0.49940295634269827
25401,Al3O12P3,0.1898,0.28830111682415155,0.09850111682415155
5259,Ag4Fe24Si4,5.9892,5.921083449459077,0.06811655054092292
174905,Hf1Ir1Nb1,7.3298,7.037674858570101,0.2921251414298984
106777,Cd2In1Sr1,3.7845,4.270465151882173,0.48596515188217326
231871,O16Si8,1.8851,1.9131400994539276,0.028040099453927603
244813,Ru1W1Y1,4.619,4.584306077384951,0.03469392261504911
241187,Pt2Rh1Zr1,6.1842,6.58490433855057,0.40070433855056997
87598,Br1Cr1Ga2,4.5826,5.166386593055727,0.5837865930557271
72473,Be1Tc2Zn1,6.1995,6.354396969509127,0.15489696950912712
81151,Bi2Pd1Ta1,8.1862,8.111849281740191,0.07435071825980799
56711,Ba1Pb1Y2,2.2605,2.4086573338031787,0.14815733380317875
218097,Mo1P1,5.1055,5.107456970739366,0.0019569707393660707
49286,Ba1Cl1Sb1,2.9302,3.320113317966463,0.3899133179664629
239576,P30Rh18Si6,7.9566,7.1029086456775685,0.8536913543224314
227133,Ni2Pb1Y1,8.6851,8.443586291170122,0.24151370882987777
28432,Al1Ta2Te1,7.8031,8.090651880550386,0.28755188055038605
82842,B1K2Zn1,0.7489,0.9254240898609176,0.1765240898609176
31916,As1Cl2V1,6.2036,5.785916993618013,0.41768300638198674
169421,Ge2Mo1Pd1,8.8607,8.60358018550873,0.2571198144912703
84459,B1Na2Sn1,3.9801,4.138721014547349,0.15862101454734923
202631,La2Pt1Zr1,8.4585,8.54625786304474,0.08775786304473954
99017,Ca2Mg2O12Si4,2.9335,2.7905775923252123,0.1429224076747877
170147,Ge1Nb2Y1,9.1449,9.086685717296602,0.05821428270339801
204920,Li1Mo1Si2,8.3594,8.409060602998736,0.04966060299873476
183973,Hg1Se1Zr2,5.5126,5.866378787231447,0.3537787872314473
11295,Al2As1Co1,7.8732,8.142244794130328,0.2690447941303278
33348,As1F3Pd1,1.9399,2.4301290044784563,0.4902290044784563
42276,Au2Fe1Ge1,6.3646,6.673539766168596,0.30893976616859575
32371,As1Cr1Se1,5.4009,5.995575848388674,0.5946758483886736
97211,Ca1Hg2Os1,3.9434,4.468919291496278,0.5255192914962783
195934,K1Nb1Si1,4.7179,5.232628723859789,0.5147287238597889
149857,Fe1La2V1,8.7297,8.699136884260179,0.03056311573982029
30589,As1Br1La2,8.5646,8.62223857727051,0.05763857727050947
74515,Bi4,6.5652,6.595967885589602,0.03076788558960164
127323,Co2Te1V1,8.9935,9.204559078741076,0.21105907874107643
101419,Ca4P8Pb2,5.7925,5.295341651725771,0.49715834827422967
204774,Li1Mn1V2,5.0789,5.191936005640032,0.11303600564003169
110070,Cd1S1,0.8766,1.4964148415565506,0.6198148415565505
86529,B3P6Y3,7.6132,7.152345720434191,0.46085427956580904
102024,Ca1Rh1Sn1,4.1843,4.30522477579117,0.12092477579116956
59787,B1Bi2Cu1,7.8854,7.954218945026399,0.06881894502639962
101728,Ca1Pt2Se1,5.69,5.884617708015444,0.19461770801544365
212870,Mg1V1W1,4.3276,4.460469371318819,0.1328693713188187
13800,Al1Bi2Ti1,7.3442,7.49213939599991,0.14793939599991024
48751,Ba1Cd1Sc1,1.6766,1.9348981397390381,0.25829813973903804
142136,Cu1Os2P1,9.5686,9.736948417043688,0.16834841704368841
208750,Mg1Mn2Pb1,6.5141,6.673614383602144,0.15951438360214443
220706,Na1Os1Sn2,5.4888,5.728128816366198,0.2393288163661973
148928,Fe1In1Sb1,6.772,7.123618008518221,0.351618008518221
177474,Hf2O4,3.2635,4.71108916373253,1.44758916373253
79414,Bi1Mg1Ta2,7.1032,7.299638517570497,0.19643851757049724
196308,K2O4,-0.0671,-0.6288510008811937,0.5617510008811937
47141,Ba8Bi6,2.8825,3.6597577586650867,0.7772577586650868
189857,In1Ru1Se2,7.8297,7.7460907559871695,0.08360924401283043
