,Compound
874,Ag1As1Pt2
875,Ag1As1Pt2
876,Ag1As2Pt1
877,Ag1As2Pt1
878,Ag2As1Pt1
879,Ag2As1Pt1
880,Ag8As12Rb4Se24
881,Ag1As1Re1
882,Ag1As1Re1
883,Ag1As1Re1
884,Ag1As1Re2
885,Ag1As1Re2
886,Ag1As2Re1
887,Ag1As2Re1
888,Ag2As1Re1
889,Ag2As1Re1
890,Ag1As1Rh1
891,Ag1As1Rh1
892,Ag1As1Rh1
893,Ag1As1Rh2
894,Ag1As1Rh2
895,Ag1As2Rh1
896,Ag1As2Rh1
897,Ag2As1Rh1
898,Ag2As1Rh1
899,Ag1As1Ru1
900,Ag1As1Ru1
901,Ag1As1Ru1
902,Ag1As1Ru2
903,Ag1As1Ru2
904,Ag1As2Ru1
905,Ag1As2Ru1
906,Ag2As1Ru1
907,Ag2As1Ru1
908,Ag12As4S12
909,Ag12As4S12
910,Ag28As4S24
911,Ag28As4S24
912,Ag4As4S4
913,Ag6As2S6
914,Ag6As2S6
915,Ag6As2S6
916,Ag6As2S6
917,Ag6As2S6
918,Ag6As2S6
919,Ag6As2S6
920,Ag6As2S6
921,Ag6As2S8
922,Ag6As6S12
923,Ag1As1Sb1
924,Ag1As1Sb1
925,Ag1As1Sb1
926,Ag1As1Sb2
927,Ag1As1Sb2
928,Ag1As2Sb1
929,Ag1As2Sb1
930,Ag2As1Sb1
931,Ag2As1Sb1
932,Ag1As1Sc1
933,Ag1As1Sc1
934,Ag1As1Sc1
935,Ag1As1Sc2
936,Ag1As1Sc2
937,Ag1As2Sc1
938,Ag1As2Sc1
939,Ag2As1Sc1
940,Ag2As1Sc1
941,Ag1As1Se1
942,Ag1As1Se1
943,Ag1As1Se1
944,Ag1As1Se2
945,Ag1As1Se2
946,Ag1As1Se2
947,Ag1As1Se2
948,Ag1As1Se2
949,Ag1As1Se2
950,Ag1As1Se2
951,Ag1As2Se1
952,Ag1As2Se1
953,Ag28As4Se24
954,Ag28As4Se24
955,Ag2As1Se1
956,Ag2As1Se1
957,Ag36As12Se36
958,Ag4As4Se4
959,Ag6As2Se6
960,Ag6As2Se6
961,Ag6As2Se6
962,Ag1As1Si1
963,Ag1As1Si1
964,Ag1As1Si1
965,Ag1As1Si2
966,Ag1As1Si2
967,Ag1As2Si1
968,Ag1As2Si1
969,Ag2As1Si1
970,Ag2As1Si1
971,Ag4As8Sm4
972,Ag1As1Sn1
973,Ag1As1Sn1
974,Ag1As1Sn1
975,Ag1As1Sn2
976,Ag1As1Sn2
977,Ag1As2Sn1
978,Ag1As2Sn1
979,Ag2As1Sn1
980,Ag2As1Sn1
981,Ag1As1Sr1
982,Ag1As1Sr1
983,Ag1As1Sr1
984,Ag1As1Sr1
985,Ag1As1Sr2
986,Ag1As1Sr2
987,Ag1As2Sr1
988,Ag1As2Sr1
989,Ag2As1Sr1
990,Ag2As1Sr1
991,Ag2As2Sr2
992,Ag12As8S24Tl12
993,Ag1As1Ta1
994,Ag1As1Ta1
995,Ag1As1Ta1
996,Ag1As1Ta2
997,Ag1As1Ta2
998,Ag1As2Ta1
999,Ag1As2Ta1
1000,Ag2As1Ta1
1001,Ag2As1Ta1
1002,Ag1As1Tc1
1003,Ag1As1Tc1
1004,Ag1As1Tc1
1005,Ag1As1Tc2
1006,Ag1As1Tc2
1007,Ag1As2Tc1
1008,Ag1As2Tc1
1009,Ag2As1Tc1
1010,Ag2As1Tc1
1011,Ag1As1Te1
1012,Ag1As1Te1
1013,Ag1As1Te1
1014,Ag1As1Te2
1015,Ag1As1Te2
1016,Ag1As2Te1
1017,Ag1As2Te1
1018,Ag2As1Te1
1019,Ag2As1Te1
1020,Ag1As1Ti1
1021,Ag1As1Ti1
1022,Ag1As1Ti1
1023,Ag1As1Ti2
1024,Ag1As1Ti2
1025,Ag1As2Ti1
1026,Ag1As2Ti1
1027,Ag2As1Ti1
1028,Ag2As1Ti1
1029,Ag1As1Tl1
1030,Ag1As1Tl1
1031,Ag1As1Tl1
1032,Ag1As1Tl2
1033,Ag1As1Tl2
1034,Ag1As2Tl1
1035,Ag1As2Tl1
1036,Ag2As1Tl1
1037,Ag2As1Tl1
1038,Ag1As1V1
1039,Ag1As1V1
1040,Ag1As1V1
1041,Ag1As1V2
1042,Ag1As1V2
1043,Ag1As2V1
1044,Ag1As2V1
1045,Ag2As1V1
1046,Ag2As1V1
1047,Ag1As1W1
1048,Ag1As1W1
1049,Ag1As1W1
1050,Ag1As1W2
1051,Ag1As1W2
1052,Ag1As2W1
1053,Ag1As2W1
1054,Ag2As1W1
1055,Ag2As1W1
1056,Ag1As1Y1
1057,Ag1As1Y1
1058,Ag1As1Y1
1059,Ag1As1Y2
1060,Ag1As1Y2
1061,Ag1As2Y1
1062,Ag1As2Y1
1063,Ag2As1Y1
1064,Ag2As1Y1
1065,Ag1As1Zn1
1066,Ag1As1Zn1
1067,Ag1As1Zn1
1068,Ag1As1Zn1
1069,Ag1As1Zn2
1070,Ag1As1Zn2
1071,Ag1As2Zn1
1072,Ag1As2Zn1
1073,Ag2As1Zn1
1074,Ag2As1Zn1
1075,Ag1As1Zr1
1076,Ag1As1Zr1
1077,Ag1As1Zr1
1078,Ag1As1Zr2
1079,Ag1As1Zr2
1080,Ag1As2Zr1
1081,Ag1As2Zr1
1082,Ag2As1Zr1
1083,Ag2As1Zr1
1084,Ag1Au1B1
1085,Ag1Au1B1
1086,Ag1Au1B1
1087,Ag1Au1B2
1088,Ag1Au1B2
1089,Ag1Au2B1
1090,Ag1Au2B1
1091,Ag2Au1B1
1092,Ag2Au1B1
